,Brand,Depth,Height,Model Number,Primary Color,Primary Material,Type,Weight,Width,image_urls
10,The Attic,40 mm,78 mm,KL-465,Brown,Solid Wood,Chest of Drawers,25 kg,60 mm,"rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87jvwdutva.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87zhyctmwh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87y3jr7dcu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87edvaskfu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87h5hfxsbb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevuayrjg6mwft.jpeg?q=70
"
11,RoyalOak,54 cm,200 cm,WR8502BL-2,Black,Engineered Wood,Wardrobe,60 kg,80 cm,"rukminim1.flixcart.com/image/128/128/j6wi0sw0/wardrobe-closet/m/f/u/mdf-jupiter-royaloak-dark-original-imaex9qt5uewmkca.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/wardrobe-closet/m/f/u/mdf-jupiter-royaloak-dark-original-imaex9qtahvb8qgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/wardrobe-closet/m/f/u/mdf-jupiter-royaloak-dark-original-imaex9qtzydy9mce.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/wardrobe-closet/m/f/u/mdf-jupiter-royaloak-dark-original-imaex9qt6bteh7zs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/wardrobe-closet/m/f/u/mdf-jupiter-royaloak-dark-original-imaex9qt3ea9utkg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7jd2fk0/wardrobe-closet/m/f/u/mdf-wr8502bl-2-royaloak-black-original-imaexr6qz4qba2hm.jpeg?q=70
"
12,The Attic,45 mm,85 mm,KL-316C,Brown,Solid Wood,Sideboard,37 kg,115 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/k/h/u/kl-316c-rosewood-sheesham-the-attic-espresso-original-imae9xevzkcskdhw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/k/h/u/kl-316c-rosewood-sheesham-the-attic-espresso-original-imae9xevh8f8kyta.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/k/h/u/kl-316c-rosewood-sheesham-the-attic-espresso-original-imae9xevbbt7jz7w.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/k/h/u/kl-316c-rosewood-sheesham-the-attic-espresso-original-imae9xev4yk7aqzc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/k/h/u/kl-316c-rosewood-sheesham-the-attic-espresso-original-imae9xevfyhzgkgr.jpeg?q=70
"
13,The Attic,38 mm,115 mm,KL-473,Brown,Solid Wood,Chest of Drawers,35 kg,57 mm,"rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5cnfwvhdvq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5czbytun5w.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5cbvtvqdhm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5chxhmnzey.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5cax25zkyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/cabinet-drawer/4/b/h/rosewood-sheesham-kl-473-the-attic-honey-original-imaewd5cegyuwzhp.jpeg?q=70
"
14,The Attic,37 mm,90 mm,KL-54,Multicolor,Solid Wood,Sideboard,23 kg,80 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/y/g/kl-54-mango-wood-the-attic-walnut-brown-original-imae9xevatgfd6vq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/y/g/kl-54-mango-wood-the-attic-walnut-brown-original-imae9xevtvepp4nn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/y/g/kl-54-mango-wood-the-attic-walnut-brown-original-imae9xevgg8khgzp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/y/g/kl-54-mango-wood-the-attic-walnut-brown-original-imae9xev7pb4kxp5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/v/y/g/kl-54-mango-wood-the-attic-walnut-brown-original-imae9xevh6asbyn3.jpeg?q=70
"
15,The Attic,40 mm,78 mm,KL-443,Brown,Solid Wood,Chest of Drawers,20 kg,40 mm,"rukminim1.flixcart.com/image/128/128/j4zwvww0/cabinet-drawer/g/u/a/rosewood-sheesham-kl-443-the-attic-honey-original-imaevr87x2vp6qww.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4zwvww0/cabinet-drawer/g/u/a/rosewood-sheesham-kl-443-the-attic-honey-original-imaevs8zuvkahnby.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5r293k0/bed/w/6/b/single-na-rosewood-sheesham-kl-1730-the-attic-honey-original-imaevr5tctxgfqrk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4zwvww0/cabinet-drawer/g/u/a/rosewood-sheesham-kl-443-the-attic-honey-original-imaevr87ekhjenzw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/cabinet-drawer/r/x/p/rosewood-sheesham-kl-465-the-attic-honey-original-imaevr87h5hfxsbb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4zwvww0/cabinet-drawer/g/u/a/rosewood-sheesham-kl-443-the-attic-honey-original-imaevr87emqxyjxq.jpeg?q=70
"
16,Cello Furniture,37 mm,122.5 mm,Novelty Big,Brown,Plastic,Chest of Drawers,10 kg,59.3 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/u/g/q/novelty-big-pp-cello-furniture-pearl-brown-original-imaefjwarrbgnzxh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/u/g/q/novelty-big-pp-cello-furniture-pearl-brown-original-imaeny384b5uvdee.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/u/g/q/novelty-big-pp-cello-furniture-pearl-brown-original-imaeny387fvgygd3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/u/g/q/novelty-big-pp-cello-furniture-pearl-brown-original-imaefjwaeckcjjcc.jpeg?q=70
"
17,Spacewood,525 mm,2030 mm,KOSMO Apex 4 Door Wardrobe with Mirror,White,Engineered Wood,Wardrobe,169 Kg,1600 mm,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexx582nygqxed.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexx58mqdsb5a8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexanzgggx3ryd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexx58ddgtbxyk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexanman6gvfz8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaewv8cn6ghazeh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexx58pxqrvure.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/wardrobe-closet/v/h/2/particle-board-kosmo-apex-4-door-wardrobe-with-mirror-spacewood-original-imaexanpuxtmyprm.jpeg?q=70
"
18,Cello Furniture,37 mm,122.5 mm,Novelty Big,Blue,Plastic,Chest of Drawers,10 kg,59.3 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/y/m/novelty-big-pp-cello-furniture-grey-blue-original-imaefjwa3yqupthh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/y/m/novelty-big-pp-cello-furniture-grey-blue-original-imaeny38pp3ynpua.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/y/m/novelty-big-pp-cello-furniture-grey-blue-original-imaeny38yeztnmzf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/a/y/m/novelty-big-pp-cello-furniture-grey-blue-original-imaefjwayhx5qpeu.jpeg?q=70
"
19,Cello Furniture,38.1 mm,63.5 mm,Novelty compact,Red,Plastic,Chest of Drawers,6 kg,60.9 mm,"rukminim1.flixcart.com/image/128/128/cabinet-drawer/x/z/x/novelty-compact-pp-cello-furniture-red-blue-original-imaefjwahnjh2fut.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/x/z/x/novelty-compact-pp-cello-furniture-red-blue-original-imaefuzbzzabwbjz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/cabinet-drawer/x/z/x/novelty-compact-pp-cello-furniture-red-blue-original-imaefjwaq7qmhqrf.jpeg?q=70
"
