index,HDD Capacity,Model Name,Model Number,Operating System,Processor Brand,Processor Generation,Processor Name,RAM,Screen Size,image_urls
10,1 TB,IP 320,IP 320E,DOS,AMD,7th Gen,APU Dual Core A6,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmda7a2zuzca.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/z/h/v/lenovo-ip-320e-laptop-original-imaexnup8wgyphgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdat9f9zjbb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmdayz7mhp8t.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd98rxxqd8s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j62hrww0/computer/b/b/r/lenovo-notebook-original-imaewmd9ubrwcrfg.jpeg?q=70
"
11,1 TB,Vostro 3568,3568,Ubuntu,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/j/j/dell-vostro-3568-notebook-original-imaetu5dchgkeegy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6qs9e80/computer/g/j/j/dell-vostro-3568-laptop-original-imaex4wzeeqde82h.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/j/j/dell-vostro-3568-notebook-original-imaetu5d2mdgvtyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/g/j/j/dell-vostro-3568-notebook-original-imaetu5d4aqjgvhg.jpeg?q=70
"
12,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
13,500 GB,Inspiron 3565,3565,Ubuntu,AMD,7th Gen,APU Dual Core A6,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/e/d/n/dell-inspiron-3565-notebook-original-imaetu5certdasag.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5chuby2nmu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5dnezkddjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/e/d/n/dell-inspiron-3565-notebook-original-imaetu5cmew3srsz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cvtecym9e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5ccqevxfuh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5ch8zbjyes.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5cgpqjene9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cmsuznvth.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5ce5pvg5ac.jpeg?q=70
"
14,1 TB,IP 320,IP 320E,DOS,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j63x7rk0/computer/m/w/a/lenovo-na-laptop-original-imaewfhdwnxdzdhc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j63x7rk0/computer/m/w/a/lenovo-na-laptop-original-imaewfhdwnxdzdhc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6qs9e80/computer/m/w/a/lenovo-na-laptop-original-imaex4wzq9hkxfgk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/m/w/a/lenovo-na-notebook-original-imaewhfahehuhrfb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/m/w/a/lenovo-na-notebook-original-imaewhfabyxga9zk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/m/w/a/lenovo-na-notebook-original-imaewhfagzpfpcqn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/m/w/a/lenovo-na-notebook-original-imaewhfarz5rzd4f.jpeg?q=70
"
15,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
16,1 TB,IP 320,IP 320E,Windows 10 Home,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf6fhzpm4ed.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf6fhzpm4ed.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf67yykthaq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/g/f/t/lenovo-na-notebook-original-imaewhf6sgfhuzfr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6nqhcafss.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf68bfwcemn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6vfpdbpy9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0-1/computer/a/w/k/lenovo-na-notebook-original-imaewhf6pmxdspjy.jpeg?q=70
"
17,1 TB,Insprion,3567,Windows 10,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5ch98vzge5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5chuby2nmu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/p/3/d/dell-insprion-notebook-original-imaetu5darxwdhxg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5dgzdevfzy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5dnezkddjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cvtecym9e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5ccqevxfuh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5ch8zbjyes.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5cgpqjene9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cmsuznvth.jpeg?q=70
"
18,1 TB,Pavilion,14-ba075TX,Windows 10 Home,Intel,7th Gen,Core i3,4 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuurv4kesqh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuurv4kesqh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuurv4kesqh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuzz2jddem.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuu6sgfqaes.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuutvfgfhpr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuhhq3tddz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuugdvykhf2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuhepzzfph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuushmkgtyd.jpeg?q=70
"
19,1 TB,Inspiron,7560,Windows 10 Home,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/t/q/t/dell-inspiron-notebook-original-imaetu5bmzqkfs5c.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/t/q/t/dell-inspiron-notebook-original-imaetu5chyhwmsuz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5ckgwggdzs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5czxjd2may.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5csue26dea.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5cjz5zymvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5bhp3yhskx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5beywzvwku.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/t/q/t/dell-inspiron-notebook-original-imaetu5cp36hmsas.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/y/g/b/dell-inspiron-notebook-original-imaetu5bsjs2zhut.jpeg?q=70
"
