index,HDD Capacity,Model Name,Model Number,Operating System,Processor Brand,Processor Generation,Processor Name,RAM,Screen Size,image_urls
20,1 TB,Pavilion,15-au623tx,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/z/x/z/hp-pavilion-notebook-original-imaerb8rgbngwvnf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/z/x/z/hp-pavilion-notebook-original-imaerb8rgbngwvnf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/m/7/hp-pavilion-notebook-original-imaerb8vksrsxcpz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/z/x/z/hp-pavilion-notebook-original-imaerb8r8vygbbby.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/m/7/hp-pavilion-notebook-original-imaerb8rmj4uhgyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/m/7/hp-pavilion-notebook-original-imaerb8pkmdh8cxv.jpeg?q=70
"
21,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
22,1 TB,Inspiron,7559,Windows 10 Home,Intel,6th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/d/y/b/dell-inspiron-notebook-original-imaemxtbwpvakmgh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemryghjfnwmw7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/d/y/b/dell-inspiron-notebook-original-imaemuxyywb4csa3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemuxysrjhfyz4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemuxyvatqxnzh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemuxyqa7bf5qj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemuxyskxymwyu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/t/z/dell-inspiron-notebook-original-imaemuxywagqqfzx.jpeg?q=70
"
23,1 TB,Pavilion,13-U131TU X360,Windows 10 Home,Intel,7th Gen,Core i3,4 GB,13.3 inch,"rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7qsuaanz8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7qsuaanz8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7b8fzdb3h.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7zcce3fvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/x/5/x/hp-pavilion-2-in-1-laptop-original-imaerafa8dyevs4g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7ye3g85rz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx7tfd2kwvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/d/v/hp-pavilion-2-in-1-laptop-original-imaepbx4e77cfcmx.jpeg?q=70
"
24,1 TB,DM701D,R558UQ-DM701D,DOS,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/g/v/q/asus-dm701d-notebook-original-imaezytffbs76bu7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j15b6a80/computer/g/v/q/asus-dm701d-notebook-original-imaessgvn4vy7tqw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/v/q/asus-dm701d-notebook-original-imaeqa5vpjvxbbfm.jpeg?q=70
"
25,1 TB,Pavilion,15-AU628TX,Windows 10 Home,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j1gqp3k0/computer/v/n/d/hp-pavilion-notebook-original-imaetf6umgezyzzh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1gqp3k0/computer/v/n/d/hp-pavilion-notebook-original-imaetf6umgezyzzh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/v/n/d/hp-pavilion-notebook-original-imaerafbxh7na2rv.jpeg?q=70
"
26,1 TB,Inspiron 15,3558,Windows 10 Home,Intel,5th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/h/e/m/dell-inspiron-15-notebook-original-imaege4hydsbvrf5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/e/m/dell-inspiron-15-notebook-original-imaege4ht6ghebrb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/e/m/dell-inspiron-15-notebook-original-imaege4hvhfww4c9.jpeg?q=70
"
27,1 TB,Ideapad,IP 310,DOS,Intel,6th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6hjabtjay.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6xxnzghpy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6zpgusdhb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6sehftdyz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6f7ksafvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6z9aeswg4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn4pncbfd3w.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6pdhbfrga.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6njzsvvds.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6cw49mcnh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn65b2gmpdt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6gs5dzxkv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/k/b/j/lenovo-notebook-original-imaezxn6nrgfshzn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/f/a/lenovo-ideapad-original-imaezxn6jtjshsmr.jpeg?q=70
"
28,1 TB,Inspiron,5578,Windows 10 Home,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemyh5cgx3c5ux.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/u/j/dell-inspiron-2-in-1-laptop-original-imaemryhfg849nhg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemwb68t5h33jg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemwb8csupnqja.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemwb9y6xsekkt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/u/j/dell-inspiron-2-in-1-laptop-original-imaemwdzsw8gmyhj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/g/u/j/dell-inspiron-2-in-1-laptop-original-imaemwbbqkafrkkp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemwbdarmgweyu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/u/b/dell-inspiron-2-in-1-laptop-original-imaemwbghpyn9erp.jpeg?q=70
"
29,1 TB,Pavilion,15-AU620TX,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/v/n/d/hp-pavilion-notebook-original-imaerafbxh7na2rv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/v/n/d/hp-pavilion-notebook-original-imaerafbxh7na2rv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/t/e/a/hp-pavilion-notebook-original-imaemszzmavzpjkb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/t/e/a/hp-pavilion-notebook-original-imaemszzmt6fn9bd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/h/f/hp-pavilion-notebook-original-imaepbx7qyfsqbzt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/t/e/a/hp-pavilion-notebook-original-imaemszzeh5azkte.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/t/e/a/hp-pavilion-notebook-original-imaemspyzshzhhfv.jpeg?q=70
"
30,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
31,1 TB,3567,3567,DOS,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/x/c/5/dell-3567-notebook-original-imaestkw6wx5zqvp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/x/c/5/dell-3567-notebook-original-imaeu5a8xxpzg3pb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/x/c/5/dell-3567-notebook-original-imaeu5a8cvxbjqxu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/x/c/5/dell-3567-notebook-original-imaeu5a8cv8acpep.jpeg?q=70
"
32,500 GB,ASPIRE,ASPIRE ES1,Windows 10 Home,AMD,7th Gen,APU Dual Core E1,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j1dvte80/computer/h/4/z/acer-aspire-notebook-original-imaergtgwvgzt2mv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1dvte80/computer/h/4/z/acer-aspire-notebook-original-imaergthtgwuyxhp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1dvte80/computer/h/4/z/acer-aspire-notebook-original-imaergthq9ectfsm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1dvte80/computer/h/4/z/acer-aspire-notebook-original-imaergthumzhhepf.jpeg?q=70
"
33,1 TB,Inspiron 3567,3567,DOS,Intel,7th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j5lchow0/computer/z/7/t/dell-inspiron-3567-notebook-original-imaeu248hf75zyfq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5lchow0/computer/z/7/t/dell-inspiron-3567-notebook-original-imaew6hkzemzg4jz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5lchow0/computer/z/7/t/dell-inspiron-3567-notebook-original-imaew6hhtker3ews.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5lchow0/computer/z/7/t/dell-inspiron-3567-notebook-original-imaew6hhrh8sbdxf.jpeg?q=70
"
34,1 TB,Pavilion,14-al111tx,Windows 10 Home,Intel,5th Gen,Core i5,8 GB,14 inch,"rukminim1.flixcart.com/image/128/128/computer/c/y/g/hp-pavilion-notebook-original-imaer3hhwvxv9g5k.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/y/g/hp-pavilion-notebook-original-imaer3hhae6pzgy5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/y/g/hp-pavilion-notebook-original-imaer3hhdbazj7qz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/y/g/hp-pavilion-notebook-original-imaezw8g3hzt4vay.jpeg?q=70
"
35,1 TB,Inspiron 3567,3567,Windows 10 Home,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5ch98vzge5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cvtecym9e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5chuby2nmu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5dgzdevfzy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5dnezkddjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5ce5pvg5ac.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5ccqevxfuh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5ch8zbjyes.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j52rrm80/computer/a/h/n/dell-inspiron-3567-notebook-original-imaetu5cgpqjene9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7asfbk0/computer/h/z/h/dell-na-laptop-original-imaetu5cmsuznvth.jpeg?q=70
"
36,1 TB,E 15,E5-575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaakukysrfg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaadmh9ye6p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxf4unyzkt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/m/f/j/acer-e-15-notebook-original-imaev4wxzubfgyuy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/m/f/j/acer-e-15-notebook-original-imaev4wxbhe7w3dg.jpeg?q=70
"
37,1 TB,PE62 7RD-1242XIN,PE62 7RD,DOS,Intel,7th Gen,Core i7,16 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/x/3/g/msi-pe62-7rd-1246xin-notebook-original-imaetu4dhfgwgxz5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/x/3/g/msi-pe62-7rd-1246xin-notebook-original-imaetu4dgzzvqtvt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/x/3/g/msi-pe62-7rd-1246xin-notebook-original-imaetu4dzaxaup7q.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/r/q/8/msi-pe62-7rd-1242xin-notebook-original-imaetu4dkgsnrppf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2hw58w0/computer/x/3/g/msi-pe62-7rd-1246xin-notebook-original-imaetu4dyqeq6haj.jpeg?q=70
"
38,1 TB,S510UN-BQ139T(S510UN),S510UN-BQ139T,Windows 10,Intel,8th Gen,Core i7,16 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp5tpbgbumf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6ggnd23cm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6yy54q7hf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6cjtd4ygb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6sqa72tc3.jpeg?q=70
"
39,1 TB,R541UJ-DM265(R541U),R541UJ-DM265,DOS,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j7rxpjk0/computer/r/d/a/asus-r541uj-dm265-r541u-laptop-original-imaexq3ufen4u9pc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7rxpjk0/computer/r/d/a/asus-r541uj-dm265-r541u-laptop-original-imaexq3unapy4tcy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7rxpjk0/computer/r/d/a/asus-r541uj-dm265-r541u-laptop-original-imaexq3ut7agwjyc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7rxpjk0/computer/r/d/a/asus-r541uj-dm265-r541u-laptop-original-imaexq3uuyu8dy6e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7rxpjk0/computer/r/d/a/asus-r541uj-dm265-r541u-laptop-original-imaexq3udg5tdgcw.jpeg?q=70
"
40,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
41,500 GB,Inspiron 3169,3169,Windows 10 Home,Intel,6th Gen,Core m3,4 GB,11.6 inch,"rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujuc3hfd2sph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujucvaftgudw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujuchjyahf6m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujudxyqxm7ps.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujudzfxwveen.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3er9u80/computer/n/g/n/dell-inspiron-3169-2-in-1-laptop-original-imaeujucvfvwdc6q.jpeg?q=70
"
42,500 GB,Hp Commerical Series,240G4,DOS,Intel,5th Gen,Core i3,4 GB,14 inch,
43,1 TB,Inspiron,3558,Windows 10 Home,Intel,5th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/r/u/f/dell-inspiron-notebook-original-imaemgkz63tafsxq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/u/f/dell-inspiron-notebook-original-imaemgkzt62cnf2x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/m/z/e/dell-inspiron-15-notebook-original-imaemgkzh5htfstc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/u/f/dell-inspiron-notebook-original-imaemxamvrdqze2q.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/u/f/dell-inspiron-notebook-original-imaemvbsbgzkynkr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/u/f/dell-inspiron-notebook-original-imaemvbskfqucdyt.jpeg?q=70
"
44,1 TB,Dell Inspiron 3567,3567,Windows 10,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/t/f/f/dell-dell-inspiron-3567-notebook-original-imaewbfy9afrcvkh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/t/f/f/dell-dell-inspiron-3567-notebook-original-imaewbffabz8yqpm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/t/f/f/dell-dell-inspiron-3567-notebook-original-imaewbffvzpadrhc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/t/f/f/dell-dell-inspiron-3567-notebook-original-imaewbffg4sahfnf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5vcknk0/computer/t/f/f/dell-dell-inspiron-3567-notebook-original-imaes7bycvzydwhy.jpeg?q=70
"
45,1 TB,Inspiron 15,3558,Ubuntu,Intel,5th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/d/g/h/dell-inspiron-15-notebook-original-imaeh5uyqgzfzefr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/d/g/h/dell-inspiron-15-notebook-original-imaeh5uygphfk8zx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/d/g/h/dell-inspiron-15-notebook-original-imaeh5uyr8r64s76.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/w/z/g/dell-inspiron-15-notebook-original-imaeh5uyts8cdn23.jpeg?q=70
"
46,500 GB,Inspiron,7359,Windows 10 Home,Intel,6th Gen,Core i5,8 GB,13.3 inch,"rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zekh35cfpg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zedxgsxw7p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zerauwrjfq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zedbc4fsb3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zehf3s9nkz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3zehuhhafcv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/p/g/j/dell-inspiron-original-imaee3ze5vajyj3g.jpeg?q=70
"
47,1 TB,Inspiron 15,5559,Windows 10 Home,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgzf6mrha6ku.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgnzmfh9hmgh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgnxpvujx8pf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgnxsbhab4my.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgnwa64tgcej.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/7/m/f/dell-inspiron-15-notebook-original-imaemgnwhzyu2rqz.jpeg?q=70
"
48,1 TB,Aspire,ES1-521,Linux,AMD,5th Gen,APU Quad Core A8,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/m/f/h/acer-aspire-notebook-original-imaezdhacrtg6fwh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbv74ecrbgm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbvqyfqpv9t.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbv8gzzjzsf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbvesyrjhvu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbvpfzwwsqs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j12gakw0/computer/m/f/h/acer-aspire-notebook-original-imaesqbvpvygqwhn.jpeg?q=70
"
