Index,Display_Size,Internal_Storage,Model_Name,Model_Number,Primary_Camera,Processor_Type,RAM,Secondary_Camera,Weight,image_urls
10,5 inch,16 GB,Moto C Plus,XT1721,8MP,Mediatek MTK6737 Quad Core 1.3Ghz,2 GB,2MP,151 g,"rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4wxss4aaua.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4xzy7vtsbt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4wwbgzxtka.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4wpuggtk3f.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4w3yj7uznx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4wy2wh3uw6.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/a/x/j/motorola-moto-c-plus-xt1721-original-imaeup4yzkm53hyh.jpeg?q=70
"
11,5.7 inch,32 GB,J7 Max,SM-G615FZDDINS,13MP,Mediatek�Octa-Core 1.69GHz,4 GB,13MP,179 g,"rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6dxaq80/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaewuzhwydsfkw2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bf8zq9b6x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bj9vz8dzt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bafzntezb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bjxmhbwhj.jpeg?q=70
"
12,4.7 inch,32 GB,iPhone 7,MN8X2HN/A,12MP,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor, ,7MP,138 g,
13,5 inch,16 GB,Moto C Plus,XT1721,8MP,Mediatek MTK6737 Quad Core 1.3Ghz,2 GB,2MP,151 g,"rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4wfjdqpwsb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4xrh4bhn69.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4w39yx4wfy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4xqgn9bq7y.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4xgnhhtxky.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4ycwwwuvjb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3lwh3k0/mobile/x/t/k/motorola-moto-c-plus-xt1721-original-imaeup4x9thgzsbh.jpeg?q=70
"
14,5.5 inch,64 GB,Mi A1,MZB5653IN,12MP + 12MP,Qualcomm Snapdragon 625 64 bit Octa Core 2GHz,4 GB,5MP,165 g,"rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9z4fmxk8ns.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9z4fmxk8ns.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9zwpp7dbae.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9zqdn6keuc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9zsdruqchz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexcvygmguxrng.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9pjmhftzrr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/x/u/z/mi-mi-a1-na-original-imaexg9pbx2erqyz.jpeg?q=70
"
15,4.7 inch,32 GB,iPhone 6,MQ3E2HN/A,8MP,A8 Chip with 64-bit Architecture and M8 Motion Co-processor, ,1.2MP,129 g,"rukminim1.flixcart.com/image/128/128/j6mhxu80/mobile/7/n/z/apple-iphone-6-mq3e2hn-a-original-imaexfzbdzgctzrv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6mhxu80/mobile/7/n/z/apple-iphone-6-mq3e2hn-a-original-imaexfzbznue67sy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6mhxu80/mobile/7/n/z/apple-iphone-6-mq3e2hn-a-original-imaexfzbkykctwjf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6mhxu80/mobile/7/n/z/apple-iphone-6-mq3e2hn-a-original-imaexfzg6qmyjqrf.jpeg?q=70
"
16,4.7 inch,32 GB,iPhone 6s,MN0W2HN/A,12MP,Apple A9 64-bit processor and Embedded M9 Motion Co-processor, ,5MP,143 g,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/6/t/q/apple-iphone-6s-mn0w2hn-a-original-imaexw6smfzjgqsz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/6/t/q/apple-iphone-6s-mn0w2hn-a-original-imaexw6shyqbz5ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/6/t/q/apple-iphone-6s-mn0w2hn-a-original-imaexw6svn7pgfg9.jpeg?q=70
"
17,5.5 inch,16 GB,Galaxy J7 Nxt,SM-J701FZKDINS,13MP,Exynos Octa-Core 1.6GHz,2 GB,5MP,170 g,"rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em68ktztyv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em68ktztyv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emjzhahhcp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emrgr2xfnm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em6fv7yufz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emdfryzvef.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emnxt8rkw7.jpeg?q=70
"
18,4.7 inch,32 GB,iPhone 6s,MN112HN/A,12MP,Apple A9 64-bit processor and Embedded M9 Motion Co-processor, ,5MP,143 g,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/y/x/g/apple-iphone-6s-mn112hn-a-original-imaexw6szu6xhzgr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/y/x/g/apple-iphone-6s-mn112hn-a-original-imaexw6sys4upnvh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/y/x/g/apple-iphone-6s-mn112hn-a-original-imaexw6snnuzpz8y.jpeg?q=70
"
19,4.7 inch,32 GB,iPhone 6s,MN122HN/A,12MP,Apple A9 64-bit processor and M9 Motion Co-processor, ,5MP,143 g,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/g/m/8/apple-iphone-6s-mn122hn-a-original-imaexwzqve7rd7cg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/g/m/8/apple-iphone-6s-mn122hn-a-original-imaexwzqbf694rph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/g/m/8/apple-iphone-6s-mn122hn-a-original-imaexwzqf2hmmedf.jpeg?q=70
"
