Index,Display_Size,Internal_Storage,Model_Name,Model_Number,Primary_Camera,Processor_Type,RAM,Secondary_Camera,Weight,image_urls
20,5.7 inch,32 GB,Le Max2,le x821,21MP,Qualcomm Snapdragon 820 Quad Core 2.15GHz,4 GB,8MP,185 g,"rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgug5vytpjbh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgugnuyz5kfx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejguggkqmb7mt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgugs8g3bvh8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgugb43ur92f.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgugbhg5e9ys.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejguggjjekqwc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejguge3h48bme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgug6gtgf6r5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/5/y/a/leeco-le-max2-na-original-imaejgugpumrbys7.jpeg?q=70
"
21,5.2 inch,32 GB,Me3S,iV 501,13MP,MediaTek 6737 64-bit 1.3GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkk5bp4y4b.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkk5bp4y4b.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkqsn8yqrc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkejyame8c.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkzcafgvhh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkaz6qhy2e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkayadzexx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkyygn7eg5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkygqkztv8.jpeg?q=70
"
22,5.7 inch,32 GB,Galaxy On Max,SM-G615FZKUINS,13MP,"MediaTek MTK6757V/WL 2.39GHz, 1.69GHz, Octa Core",4 GB,13MP,179 g,"rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxesgjatny.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxesgjatny.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxhehnbkhj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfx7shehshy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxn9jfyqhg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxcswdy6zp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4sronk0/mobile/e/n/w/samsung-on-max-sm-g615fzkuins-original-imaevmfxhwd4yjgz.jpeg?q=70
"
23,6.44 inch,64 GB,Mi Max 2,MDI4O,12MP,Qualcomm Snapdragon 625 Octa Core 2 Ghz,4 GB,5MP,211 g,"rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-max-2-d4-original-imaew6jfzdxmg3d6.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xeytdsuv6d.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xe6gvgptde.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xftbp38egc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xetj3jaym5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xeugxtpjya.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5jx1u80/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew6xhf35mm9xe.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5jx1u80/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew7ubfv5ajhzq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5jx1u80/mobile/f/e/7/mi-mi-max-2-mdi4o-original-imaew7ubvjezvvcw.jpeg?q=70
"
24,5.5 inch,16 GB,Galaxy J7 - 6 (New 2016 Edition),SM-J710FZKUINS/ SM-J710FZWUINS/ SM- J710FZDUINS,13MP,Exynos 7870 Octa Core 1.6GHz,2 GB,5MP,169 g,"rukminim1.flixcart.com/image/128/128/mobile/v/e/x/samsung-galaxy-j7-2016-sm-j710fzkuins-original-imaeg8cyrp7hscz4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/v/e/x/samsung-galaxy-j7-2016-sm-j710fzkuins-original-imaeg8cyrp7hscz4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/f/samsung-galaxy-j5-6-new-2016-edition-sm-j510fzkuins-original-imaegjdkhj7sbqjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/f/samsung-galaxy-j5-6-new-2016-edition-sm-j510fzkuins-original-imaegjdkwuyna6ag.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/f/samsung-galaxy-j5-6-new-2016-edition-sm-j510fzkuins-original-imaegjdkkeeuchh4.jpeg?q=70
"
25,4.7 inch,32 GB,iPhone 6,MQ3D2HN/A,8MP,Apple A8 64-bit processor and M8 Motion Co-processor, ,1.2MP,129 g,"rukminim1.flixcart.com/image/128/128/j2c6du80/mobile/f/2/j/apple-iphone-6-a1586-original-imaetnf2h6gck78p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2c6du80/mobile/f/2/j/apple-iphone-6-a1586-original-imaetnf2aznrj6jh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2c6du80/mobile/f/2/j/apple-iphone-6-a1586-original-imaetnf2ru75g3zz.jpeg?q=70
"
26,5 inch,16 GB,Galaxy J3 Pro,SM-J320FZDGINS,8MP,Spreadtrum Quad Core 1.5GHz,2 GB,5MP,138 g,"rukminim1.flixcart.com/image/128/128/j3orcsw0/mobile/r/p/v/samsung-galaxy-j3-pro-sm-j320fzdgins-original-imaeurqgnaz4puyt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3vwk280/mobile/r/p/v/samsung-galaxy-j3-pro-sm-j320fzdgins-original-imaeux6pgm9yxhht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3orcsw0/mobile/r/p/v/samsung-galaxy-j3-pro-sm-j320fzdgins-original-imaeurqghzbh7kme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3orcsw0/mobile/r/p/v/samsung-galaxy-j3-pro-sm-j320fzdgins-original-imaeurqgzkxqamqd.jpeg?q=70
"
27,5 inch,32 GB,K6 Power,K33A42,13MP,Qualcomm Snapdragon 430 Octa Core 1.4GHz,itional Content3 GB RAM,8MP,145 g,"rukminim1.flixcart.com/image/128/128/j44h7680/mobile/g/b/q/lenovo-k6-power-k33a42-original-imaev3qatph78mge.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j44h7680/mobile/g/b/q/lenovo-k6-power-k33a42-original-imaev3qatph78mge.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/w/f/lenovo-k6-power-k33a42-original-imaezt6jrtvqh5yj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/b/q/lenovo-k6-power-k33a42-original-imaezt44xfecyaf8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/w/f/lenovo-k6-power-k33a42-original-imaezt6h5ugwpxeh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/w/f/lenovo-k6-power-k33a42-original-imaezt6hmsdm6pf6.jpeg?q=70
"
28,5 inch,16 GB,Moto E3 Power,PA4C0020IN/PA4C0009IN,8MP,Mediatek MT6735p 64-bit Quad Core 1GHz,2 GB,5MP,153.5 g,"rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7xpcfhnu8r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7xysxuamzg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7x8zqcgnfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7xhpjycjss.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7xkxgrnrpa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7x33ekegnu.jpeg?q=70
"
29,5.2 inch,32 GB,Me3S,iV 501,13MP,MediaTek 6737 64-bit 1.3GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkggm3pteh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkwavyhsfd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkzwausgtm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkuk5vseax.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkaksj4h88.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkksyhqfjp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkjhfr48yt.jpeg?q=70
"
30,6.4 inch,32 GB,Phab 2,PB2-650M,13MP,MTK8735,itional Content3GB RAM,5MP,225 g,"rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkcvqg6mcyf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkcvqg6mcyf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab-2-pb2-650m-original-imaezxnffada2wrx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j30gvbk0/mobile/m/h/t/lenovo-phab-2-pb2-650m-original-imaeu8gggjgcuvrn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkckkwgxgjq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkawyhyk8mg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkcfzdrz2hr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/m/h/t/lenovo-phab2-pb2-650m-original-imaezxkc5nec7pdw.jpeg?q=70
"
31,4.7 inch,32 GB,iPhone 7,MN912HN/A,12MP,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor, ,7MP,138 g,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/8/5/t/apple-iphone-7-mn912hn-a-original-imaexwzngmvhunxr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/8/5/t/apple-iphone-7-mn912hn-a-original-imaexwznhavrzrzh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/y/t/k/apple-iphone-7-mn9a2hn-a-original-imaexwznhgrnaat8.jpeg?q=70
"
32,6.4 inch,32 GB,Phab 2,PB2-650M,13MP,MTK8735,itional Content3GB RAM,5MP,225 g,"rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcub7yax7x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcub7yax7x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkce7syzbsf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j30gvbk0/mobile/m/h/t/lenovo-phab-2-pb2-650m-original-imaeu8gggjgcuvrn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcvg3jjvmc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcyajgv7ff.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcubu2ag7q.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/d/z/lenovo-phab2-pb2-650m-original-imaezxkcatynfyck.jpeg?q=70
"
33,5.7 inch,32 GB,J7 Max,SM-G615FZDDINS,13MP,Mediatek�Octa-Core 1.69GHz,4 GB,13MP,179 g,"rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6dxaq80/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaewuzhwydsfkw2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bf8zq9b6x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bj9vz8dzt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bafzntezb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bjxmhbwhj.jpeg?q=70
"
34,5.2 inch,32 GB,Zenfone 3s Max,ZC521TL-4G014IN/ZC521TL-4G006IN,13MP,"Octa Core Processor MediaTek MT6750, 1.5GHz",3 GB,8MP,175 g,"rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvh4fpuepx9d.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvh4fqtb3p4z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvh6ag9vmnkg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvh42erzjzjg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvhbuaeu23mh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvhbt3tssyac.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/z/z/asus-zenfone-3s-max-zc521tl-4g006in-original-imaeqvh5zbr3b6y4.jpeg?q=70
"
35,5.5 inch,32 GB,Eluga Ray 700,EB-90S55ER7B,13MP,Mediatek MTK6753 Octa Core 1.3GHz,3 GB,13MP,182 g,"rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyrs3ngg4x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyhey6rkpk6us.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyxcx5t8nr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyecyck6ff.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyygkzwgu3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyptphhnkh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyureyr3ca.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyhvwaxapq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheydcghkcss.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyfakd8j4p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8lxyfk0/mobile/u/z/c/panasonic-eluga-ray-700-eb-90s55er7b-original-imaeyheyjtzrvayn.jpeg?q=70
"
36,4 inch,32 GB,iPhone SE,MP842HN/A,12MP,Apple A9 64-bit processor and Embedded M9 Motion Co-processor, ,1.2MP,113 g,"rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/q/k/h/apple-iphone-se-mp842hn-a-original-imaexw6frwpducnb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/q/k/h/apple-iphone-se-mp842hn-a-original-imaexw6h2b5hfgyh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7qi9ow0/mobile/q/k/h/apple-iphone-se-mp842hn-a-original-imaexw6kfyhtbvht.jpeg?q=70
"
37,5 inch,8 GB,Galaxy On5,SM-G550FZKDINS,8MP,Exynos 3475 Quad Core 1.3GHz,1.5 GB,5MP,149 g,"rukminim1.flixcart.com/image/128/128/mobile/c/n/y/samsung-galaxy-on7-sm-g600f-original-imaecqkgfgtmaw2y.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/n/p/samsung-galaxy-on5-sm-g550f-original-imaecqg9thg7n4em.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/n/p/samsung-galaxy-on5-sm-g550f-original-imaecqg97erwmgcv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/n/p/samsung-galaxy-on5-sm-g550fzkdins-sm-g550fzddins-original-imaefthswb9uxhhm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/n/p/samsung-galaxy-on5-sm-g550f-original-imaecqg9wnfxhhzu.jpeg?q=70
"
38,5.7 inch,32 GB,Note 4,X 572,13MP,Mediatek MT6753 Octa Core 1.3 Ghz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaeweh3xpuebgmg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaewe86a3qhhezs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaewe86tqgz4gzh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaewe86ydnsummj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaewe86u5bd4zux.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/x/g/infinix-note-4-x-572-original-imaewe86pyyzhpfc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pz2gbr62zp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pz3czjjtuy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pz7zgfzast.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pz3ahdcvtn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pzxaxzpssg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pznfs5bj35.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pznzfdvgsh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/x/g/infinix-note-4-x-572-original-imaew6pzz4w2qpfs.jpeg?q=70
"
39,5.5 inch,16 GB,Galaxy J7 Nxt,SM-J701FZKDINS,13MP,Exynos Octa-Core 1.6GHz,2 GB,5MP,170 g,"rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em68ktztyv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em68ktztyv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emjzhahhcp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emrgr2xfnm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2em6fv7yufz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emdfryzvef.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5crukw0/mobile/j/k/7/samsung-j7-nxt-sm-j701fzkdins-original-imaew2emnxt8rkw7.jpeg?q=70
"
40,5.7 inch,32 GB,Note 4,X 572,13MP,Mediatek MT6753 Octa Core 1.3 Ghz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaeweh3qrhqejjr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaewe86kmrs8nbu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaewe86xfdhuqhs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaewe86muztrzzc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaewe86d5zuetpn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaeweh3yxfjhbht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/mobile/j/r/a/infinix-note-4-x-572-original-imaewe86bax9hkfn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qytg6pbkmg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyej2aksd2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qygzefez8y.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qydzgabqhs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyzmpksjav.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyhyqkkhar.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyfkyv5qem.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyaevahunn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyyr3bkvjd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qyuzdvvze2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qydaxyhwgz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5ihlzk0/mobile/j/r/a/infinix-note-4-x-572-original-imaew6qybng3xpzz.jpeg?q=70
"
